district,year,metric,value_pct,cohort_n,source_url
Niskayuna,2019,grad_4yr_aug,86.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2019,grad_5yr,89.6,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2019,grad_6yr,98.4,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2020,grad_4yr_aug,96.4,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2020,grad_5yr,77.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2020,grad_6yr,81.0,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2021,grad_4yr_aug,91.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2021,grad_5yr,85.7,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2021,grad_6yr,82.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2022,grad_4yr_aug,91.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2022,grad_5yr,97.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2022,grad_6yr,83.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2023,grad_4yr_aug,87.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2023,grad_5yr,94.8,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2023,grad_6yr,89.5,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2024,grad_4yr_aug,86.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Niskayuna,2024,grad_5yr,87.0,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Niskayuna,2024,grad_6yr,86.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Shenendehowa,2019,grad_4yr_aug,90.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2019,grad_5yr,94.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2019,grad_6yr,94.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2020,grad_4yr_aug,76.0,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2020,grad_5yr,81.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2020,grad_6yr,94.6,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2021,grad_4yr_aug,79.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2021,grad_5yr,76.2,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2021,grad_6yr,98.7,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2022,grad_4yr_aug,75.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2022,grad_5yr,89.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2022,grad_6yr,84.9,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2023,grad_4yr_aug,88.2,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2023,grad_5yr,96.6,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2023,grad_6yr,92.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2024,grad_4yr_aug,90.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Shenendehowa,2024,grad_5yr,83.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Shenendehowa,2024,grad_6yr,95.5,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Burnt Hills-Ballston Lake,2019,grad_4yr_aug,81.4,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2019,grad_5yr,97.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2019,grad_6yr,93.8,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2020,grad_4yr_aug,90.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2020,grad_5yr,96.3,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2020,grad_6yr,93.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2021,grad_4yr_aug,70.5,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2021,grad_5yr,77.5,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2021,grad_6yr,97.3,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2022,grad_4yr_aug,94.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2022,grad_5yr,93.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2022,grad_6yr,88.7,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2023,grad_4yr_aug,86.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2023,grad_5yr,87.6,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2023,grad_6yr,92.6,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2024,grad_4yr_aug,81.8,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Burnt Hills-Ballston Lake,2024,grad_5yr,78.6,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Burnt Hills-Ballston Lake,2024,grad_6yr,84.9,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Schenectady,2019,grad_4yr_aug,75.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2019,grad_5yr,81.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2019,grad_6yr,79.2,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2020,grad_4yr_aug,82.6,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
