district,year,pathway,value_pct,cohort_n,source_url
Niskayuna,2019,Regents,48.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2019,Advanced Regents,33.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2019,Local,19.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2019,CDOS,13.5,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2019
Niskayuna,2020,Regents,35.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2020,Advanced Regents,18.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2020,Local,13.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2020,CDOS,12.4,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2020
Niskayuna,2021,Regents,53.2,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2021,Advanced Regents,33.0,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2021,Local,21.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2021,CDOS,10.0,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2021
Niskayuna,2022,Regents,57.8,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2022,Advanced Regents,30.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2022,Local,8.0,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2022,CDOS,3.7,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2022
Niskayuna,2023,Regents,49.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2023,Advanced Regents,24.9,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2023,Local,11.6,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2023,CDOS,3.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2023
Niskayuna,2024,Regents,47.1,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Niskayuna,2024,Advanced Regents,39.5,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Niskayuna,2024,Local,13.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Niskayuna,2024,CDOS,6.3,1654,https://data.nysed.gov/gradrate.php?instid=441101060000&year=2024
Shenendehowa,2019,Regents,39.0,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2019,Advanced Regents,22.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2019,Local,7.6,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2019,CDOS,11.4,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2019
Shenendehowa,2020,Regents,53.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2020,Advanced Regents,22.8,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2020,Local,20.0,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2020,CDOS,5.2,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2020
Shenendehowa,2021,Regents,55.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
